incomplete,incorrect,inconsistency
1,0,0
1,0,0
1,0,0
1,0,0
0,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,1,1
1,0,0
1,0,0
1,0,0
1,0,1
0,0,0
1,0,0
1,0,0
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,1,1
1,0,0
1,0,0
1,0,0
1,0,0
0,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
1,0,0
1,0,1
1,0,0
0,0,1
1,0,0
1,1,0
1,0,0
1,0,0
1,0,1
0,0,1
1,0,0
1,0,1
1,0,0
1,0,1
0,1,0
1,0,0
1,0,0
0,0,1
1,0,0
1,0,1
1,0,0
1,0,1
1,0,0
1,0,0
0,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
error
1,0,0
1,0,1
0,0,1
1,0,0
1,0,0
error
1,0,0
1,0,1
1,0,0
1,0,1
1,0,1
1,0,0
1,0,0
